question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,deck_id,category_id
"What is the powerhouse of the cell?",Nucleus,Mitochondria,Ribosome,Golgi apparatus,B,"Mitochondria are known as the powerhouse of the cell because they generate most of the cell's supply of ATP, which is used as a source of chemical energy.",easy,1,1
"Which blood type is considered the universal donor?",O-,AB+,A+,B-,A,"O- blood type is considered the universal donor because it lacks A, B, and Rh antigens, making it compatible with all blood types.",medium,1,1
"What is the basic unit of life?",Tissue,Organ,Cell,Atom,C,"The cell is the basic structural and functional unit of all living organisms. It is the smallest unit that can perform all the functions of life.",easy,1,1
"In which organelle does photosynthesis occur?",Mitochondria,Chloroplast,Nucleus,Endoplasmic reticulum,B,"Photosynthesis occurs in chloroplasts, which contain chlorophyll and other pigments that capture light energy to convert carbon dioxide and water into glucose.",medium,1,1
"What is DNA?",A type of protein,Deoxyribonucleic acid,A cellular structure,An energy molecule,B,"DNA stands for Deoxyribonucleic acid. It is the hereditary material in humans and almost all other organisms that carries genetic instructions.",easy,1,1
"Which process do plants use to make their own food?",Respiration,Digestion,Photosynthesis,Fermentation,C,"Plants use photosynthesis to make their own food by converting light energy, carbon dioxide, and water into glucose and oxygen.",easy,1,1
"How many chromosomes do humans have?",23,46,48,92,B,"Humans have 46 chromosomes in total - 23 pairs. Each parent contributes 23 chromosomes to their offspring.",medium,1,1
"What is the largest organ in the human body?",Heart,Liver,Skin,Brain,C,"The skin is the largest organ of the human body, covering approximately 20 square feet and accounting for about 16% of body weight.",medium,1,1
"Which molecule carries genetic information?",RNA,Protein,DNA,Lipid,C,"DNA (Deoxyribonucleic acid) is the primary molecule that carries genetic information in living organisms.",easy,1,1
"What are the building blocks of proteins?",Nucleotides,Amino acids,Fatty acids,Monosaccharides,B,"Amino acids are the building blocks of proteins. There are 20 different amino acids that can be combined in various sequences to form proteins.",medium,1,1
